FID,Id,作物,半径,备注,x,y
110,111,玉米,3, ,11224.0000000,-13913.9003906
111,112,玉米,3, ,11394.9003906,-13820.0000000
112,113,玉米,3, ,11262.2001953,-13649.2001953
113,114,玉米,3, ,11232.5000000,-13624.9003906
114,115,玉米,3, ,11340.9003906,-13495.9003906
115,116,玉米,3, ,11302.7998047,-13546.2001953
116,117,玉米,3, ,11074.4003906,-13397.7001953
117,118,玉米,3, ,6994.0400391,-14255.2998047
118,119,玉米,3, ,6913.0498047,-14020.7998047
119,120,玉米,3, ,6708.7700195,-13719.9003906
120,121,玉米,3, ,6620.5200195,-13705.4003906
121,122,玉米,3, ,6404.1499023,-13739.2001953
122,123,玉米,3, ,6082.6201172,-14185.2001953
123,124,玉米,3, ,6027.0200195,-13983.4003906
124,125,玉米,3, ,5807.0200195,-14359.2998047
125,126,玉米,3, ,5794.9301758,-14795.7001953
126,127,玉米,3, ,5560.4301758,-14734.0000000
127,128,玉米,3, ,5749.0000000,-15002.4003906
128,129,玉米,3, ,5950.8598633,-15175.2001953
129,130,玉米,3, ,6054.8198242,-15003.5996094
130,131,玉米,3, ,5403.2900391,-14900.7998047
131,132,玉米,3, ,5201.4199219,-14923.7998047
132,133,玉米,3, ,5231.6401367,-15415.7998047
133,134,玉米,3, ,4207.6000977,-15416.9003906
134,135,玉米,3, ,3806.5100098,-15496.0996094
135,136,玉米,3, ,3896.3898926,-15195.5996094
136,137,玉米,3, ,3921.8798828,-15022.5000000
137,138,玉米,3, ,4302.8500977,-15732.2001953
138,139,玉米,3, ,3029.8200684,-14629.5000000
139,140,玉米,3, ,3813.2199707,-14371.9003906
140,141,玉米,3, ,3624.0800781,-14358.5000000
141,142,玉米,3, ,3818.5900879,-14477.9003906
142,143,玉米,3, ,3736.7600098,-15319.0000000
143,144,玉米,3, ,2634.1000977,-15292.2001953
144,145,玉米,3, ,2964.0900879,-15561.7998047
145,146,玉米,3, ,3037.8701172,-15834.0996094
146,147,玉米,3, ,5562.8300781,-10985.2001953
147,148,玉米,3, ,6149.0000000,-11126.7001953
148,149,玉米,3, ,5913.8999023,-10605.4003906
149,150,玉米,3, ,5539.4301758,-10901.0996094
150,151,玉米,3, ,5474.5400391,-10890.5000000
151,152,玉米,3, ,6275.6000977,-10289.4003906
152,153,玉米,3, ,6471.3398438,-10077.7001953
153,154,玉米,3, ,6472.3999023,-10419.2001953
154,155,玉米,3, ,6634.1000977,-9342.6396484
155,156,玉米,3, ,6589.4199219,-9302.2197266
156,157,玉米,3, ,6702.1899414,-9332.0000000
157,158,玉米,3, ,6699.0000000,-9405.4101563
158,159,玉米,3, ,6790.4902344,-9974.5498047
159,160,玉米,3, ,9570.1904297,-8363.5595703
160,161,玉米,3, ,9402.9296875,-8017.6499023
161,162,玉米,3, ,8000.2797852,-9028.7802734
162,163,玉米,3, ,9319.3095703,-9298.6601563
163,164,玉米,3, ,10094.7998047,-10959.7998047
164,165,玉米,3, ,7498.5200195,-7553.8999023
165,166,玉米,3, ,7518.4301758,-7633.1699219
166,167,玉米,3, ,6843.7998047,-7639.8500977
167,168,玉米,3, ,6838.4501953,-7919.0498047
168,169,玉米,3, ,7097.6201172,-8127.4501953
169,170,玉米,3, ,6726.2402344,-8301.1201172
170,171,玉米,3, ,6992.0800781,-8623.0703125
171,172,玉米,3, ,6361.5400391,-8657.7998047
172,173,玉米,3, ,6604.6699219,-9021.1699219
173,174,玉米,3, ,12704.4003906,-6859.2402344
174,175,玉米,3, ,12575.2001953,-6658.4702148
175,176,玉米,3, ,12419.5996094,-6549.5297852
176,177,玉米,3, ,12344.9003906,-6561.9799805
177,178,玉米,3, ,11828.2001953,-6711.3901367
178,179,玉米,3, ,12285.7998047,-5754.2402344
179,180,玉米,3, ,12304.4003906,-5662.4101563
180,181,玉米,3, ,12642.2001953,-5670.1899414
181,182,玉米,3, ,13148.0000000,-7019.5400391
182,183,玉米,3, ,12027.4003906,-6726.9501953
183,184,玉米,3, ,12094.2998047,-7277.8999023
184,185,玉米,3, ,12253.0996094,-7407.0698242
185,186,玉米,3, ,12316.9003906,-7355.7099609
186,187,玉米,3, ,12119.2001953,-7796.1601563
187,188,玉米,3, ,11979.2001953,-7788.3798828
188,189,玉米,3, ,11479.5996094,-7525.3598633
189,190,玉米,3, ,11389.2998047,-7221.8701172
190,191,玉米,3, ,11605.5996094,-7125.3798828
191,192,玉米,3, ,11790.7998047,-7069.3500977
192,193,玉米,3, ,11022.0000000,-7234.3198242
193,194,玉米,3, ,10696.7001953,-7371.2797852
194,195,玉米,3, ,10660.9003906,-7305.9101563
195,196,玉米,3, ,10614.2001953,-7312.1401367
196,197,玉米,3, ,10676.5000000,-7397.7402344
197,198,玉米,3, ,10534.9003906,-7452.2099609
198,199,玉米,3, ,11887.2998047,-8112.1000977
199,200,玉米,3, ,11991.5996094,-8384.4599609
200,201,玉米,3, ,10665.5996094,-8409.3603516
201,202,玉米,3, ,11104.5000000,-8308.2001953
202,203,玉米,3, ,11465.5996094,-7897.3198242
203,204,玉米,3, ,10710.7001953,-7922.2202148
204,205,玉米,3, ,10416.5996094,-7467.7700195
205,206,玉米,3, ,20012.5996094,-17529.0996094
206,207,玉米,3, ,20071.0996094,-17350.9003906
207,208,玉米,3, ,20012.5996094,-17356.6992188
208,209,玉米,3, ,19673.6992188,-16535.6992188
209,210,玉米,3, ,18508.9003906,-17589.0996094
210,211,玉米,3, ,18924.5000000,-17408.5000000
211,212,玉米,3, ,18382.6992188,-17436.0996094
212,213,玉米,3, ,18956.9003906,-17517.4003906
213,214,玉米,3, ,17990.9003906,-16497.5996094
214,215,玉米,3, ,19125.1992188,-16191.0000000
215,216,玉米,3, ,19517.1992188,-15799.0000000
216,217,玉米,3, ,19348.5996094,-15380.7001953
217,218,玉米,3, ,19556.5996094,-15301.9003906
218,219,玉米,3, ,17476.3007813,-15908.5000000
219,220,玉米,3, ,17502.5996094,-15496.7998047
220,221,玉米,3, ,19234.6992188,-15910.7001953
221,222,玉米,3, ,19480.0000000,-15858.0996094
222,223,玉米,3, ,17303.3007813,-16727.5000000
223,224,玉米,3, ,17318.5996094,-16372.7001953
224,225,玉米,3, ,15481.0000000,-12534.0996094
225,226,玉米,3, ,14153.9003906,-12919.0996094
226,227,玉米,3, ,15268.0000000,-13095.2001953
227,228,玉米,3, ,15595.7001953,-12695.9003906
228,229,玉米,3, ,14213.2001953,-13236.5000000
229,230,玉米,3, ,13985.9003906,-13345.0996094
230,231,玉米,3, ,13646.0000000,-13191.5000000
231,232,玉米,3, ,13646.0000000,-12798.2998047
232,233,玉米,3, ,13758.5996094,-12605.7001953
233,234,玉米,3, ,13895.7998047,-13642.0000000
234,235,玉米,3, ,15182.0000000,-13482.2998047
235,236,玉米,3, ,14958.7001953,-13859.0996094
236,237,玉米,3, ,15229.0996094,-12611.9003906
237,238,玉米,3, ,15464.5996094,-12368.2001953
238,239,玉米,3, ,15581.2998047,-12341.5996094
239,240,玉米,3, ,15650.9003906,-12091.7001953
240,241,玉米,3, ,24129.8007813,-16051.7001953
241,242,玉米,3, ,24412.5000000,-16735.8007813
242,243,玉米,3, ,24132.5996094,-16738.6992188
243,244,玉米,3, ,24093.0000000,-16817.8007813
244,245,玉米,3, ,23807.5000000,-16735.8007813
245,246,玉米,3, ,23903.5996094,-16571.9003906
246,247,玉米,3, ,23767.9003906,-16306.0996094
247,248,玉米,3, ,23519.0996094,-16472.9003906
248,249,玉米,3, ,21373.5000000,-16119.5996094
249,250,玉米,3, ,22928.3007813,-16942.1992188
250,251,玉米,3, ,23561.5996094,-16549.3007813
251,252,玉米,3, ,21492.1992188,-16806.5000000
252,253,玉米,3, ,20974.9003906,-17371.9003906
253,254,玉米,3, ,20844.8007813,-17171.1992188
254,255,玉米,3, ,21161.4003906,-16619.9003906
255,256,玉米,3, ,21127.5000000,-15839.7001953
256,257,玉米,3, ,22108.5000000,-17578.3007813
257,258,玉米,3, ,21839.9003906,-17750.6992188
258,259,玉米,3, ,22232.9003906,-17459.5000000
259,260,玉米,3, ,21913.9003906,-14348.0000000
260,261,玉米,3, ,21967.8007813,-14105.0000000
261,262,玉米,3, ,22107.0000000,-14137.2998047
262,263,玉米,3, ,21639.5000000,-14368.5996094
263,264,玉米,3, ,21681.6992188,-14558.7001953
264,265,玉米,3, ,21410.1992188,-14557.7001953
265,266,玉米,3, ,21239.6992188,-14380.4003906
266,267,玉米,3, ,21520.0000000,-14251.0000000
267,268,玉米,3, ,21489.5996094,-14430.2998047
268,269,玉米,3, ,21410.1992188,-13659.0996094
269,270,玉米,3, ,21536.5996094,-13531.7001953
270,271,玉米,3, ,21553.3007813,-13490.5996094
271,272,玉米,3, ,21312.1992188,-13391.5996094
272,273,玉米,3, ,21421.0000000,-13344.5996094
273,274,玉米,3, ,21588.5996094,-13391.5996094
274,275,玉米,3, ,22127.5000000,-13787.5000000
275,276,玉米,3, ,21112.3007813,-13885.5000000
276,277,玉米,3, ,21016.3007813,-13390.5996094
277,278,玉米,3, ,20926.0996094,-13276.9003906
278,279,玉米,3, ,21040.8007813,-13231.9003906
279,280,玉米,3, ,20343.0000000,-13635.5996094
280,281,玉米,3, ,21293.5996094,-12982.0000000
281,282,玉米,3, ,21467.0000000,-13119.2001953
282,283,玉米,3, ,22284.3007813,-12706.5996094
283,284,玉米,3, ,22432.3007813,-12359.7001953
284,285,玉米,3, ,22615.5000000,-12299.0000000
285,286,玉米,3, ,22871.3007813,-11487.5996094
286,287,玉米,3, ,23072.1992188,-11379.7998047
287,288,玉米,3, ,23197.5996094,-11379.7998047
288,289,玉米,3, ,23002.5996094,-11624.7998047
289,290,玉米,3, ,22753.6992188,-11891.2998047
290,291,玉米,3, ,22935.0000000,-12180.4003906
291,292,玉米,3, ,22436.1992188,-11540.5000000
292,293,玉米,3, ,21597.4003906,-11469.9003906
293,294,玉米,3, ,21690.5000000,-11419.0000000
294,295,玉米,3, ,21785.5000000,-11356.2998047
295,296,玉米,3, ,21869.8007813,-11352.2998047
296,297,玉米,3, ,21697.3007813,-11741.4003906
297,298,玉米,3, ,20824.1992188,-12084.4003906
298,299,玉米,3, ,20603.6992188,-11675.7001953
299,300,玉米,3, ,21052.5000000,-11446.4003906
300,301,玉米,3, ,20214.6992188,-11755.0996094
301,302,玉米,3, ,19719.8007813,-11380.7001953
302,303,玉米,3, ,19710.0000000,-11322.9003906
303,304,玉米,3, ,19855.0000000,-11268.0996094
304,305,玉米,3, ,19836.4003906,-11407.2001953
305,306,玉米,3, ,19403.3007813,-10542.9003906
306,307,玉米,3, ,11368.2001953,-4447.1201172
307,308,玉米,3, ,11269.5996094,-4147.6201172
308,309,玉米,3, ,10939.2001953,-4553.3999023
309,310,玉米,3, ,10670.5996094,-4224.9101563
310,311,玉米,3, ,9857.1601563,-4321.5297852
311,312,玉米,3, ,9358.6298828,-4205.5898438
312,313,玉米,3, ,9797.2597656,-4771.7500000
313,314,玉米,3, ,11360.5000000,-5378.4799805
314,315,玉米,3, ,11453.2001953,-5328.2402344
315,316,玉米,3, ,11225.2001953,-5620.0097656
316,317,玉米,3, ,10626.2001953,-5034.5297852
317,318,玉米,3, ,10854.2001953,-4907.0000000
318,319,玉米,3, ,10172.0996094,-5249.0200195
319,320,玉米,3, ,10170.2001953,-5579.4301758
320,321,玉米,3, ,10135.4003906,-5728.2202148
321,322,玉米,3, ,9710.2998047,-4899.2797852
322,323,玉米,3, ,9851.3603516,-4497.3598633
323,324,玉米,3, ,10523.7998047,-4217.1801758
324,325,玉米,3, ,4448.1899414,-12405.4003906
325,326,玉米,3, ,4217.4501953,-12255.7001953
326,327,玉米,3, ,4164.1201172,-12116.2001953
327,328,玉米,3, ,3795.9499512,-12164.4003906
328,329,玉米,3, ,3431.8798828,-12240.2998047
329,330,玉米,3, ,3674.9399414,-12912.0000000
330,331,玉米,3, ,3782.6201172,-12938.7001953
331,332,玉米,3, ,4052.3400879,-12791.0000000
332,333,玉米,3, ,4155.9199219,-12766.4003906
333,334,玉米,3, ,3680.0600586,-12975.5996094
334,335,玉米,3, ,3111.9099121,-12802.2998047
335,336,玉米,3, ,3399.0700684,-12473.0996094
336,337,玉米,3, ,3047.3100586,-12337.7001953
337,338,玉米,3, ,2869.8898926,-12002.4003906
338,339,玉米,3, ,2676.0600586,-11837.2001953
339,340,玉米,3, ,2395.0600586,-12488.5000000
340,341,玉米,3, ,2410.4499512,-12535.5996094
341,342,玉米,3, ,2672.9799805,-12446.4003906
342,343,玉米,3, ,2491.4599609,-12776.5996094
343,344,玉米,3, ,1493.6099854,-12370.5000000
344,345,玉米,3, ,1340.8100586,-12262.7998047
345,346,玉米,3, ,1353.1099854,-12793.0996094
346,347,玉米,3, ,1412.5899658,-13084.2998047
347,348,玉米,3, ,1786.9200439,-12439.2001953
348,349,玉米,3, ,1129.5500488,-12241.2998047
349,350,玉米,3, ,276.2950134,-12772.5000000
350,351,玉米,3, ,389.1050110,-12674.0996094
351,352,玉米,3, ,409.6159973,-12327.5000000
352,353,玉米,3, ,612.6729736,-11864.9003906
353,354,玉米,3, ,583.9580078,-11868.0000000
354,355,玉米,3, ,42024.8984375,-10500.9003906
355,356,玉米,3, ,41946.3984375,-10347.2998047
356,357,玉米,3, ,42448.1992188,-10376.7001953
357,358,玉米,3, ,42685.1992188,-10804.9003906
358,359,玉米,3, ,42610.0000000,-10916.0996094
359,360,玉米,3, ,42428.6015625,-10932.4003906
360,361,玉米,3, ,42348.5000000,-10932.4003906
361,362,玉米,3, ,41359.6992188,-10136.4003906
362,363,玉米,3, ,41629.3984375,-10639.9003906
363,364,玉米,3, ,41921.8984375,-10690.5000000
364,365,玉米,3, ,41649.0000000,-11296.9003906
365,366,玉米,3, ,41364.6015625,-10700.2998047
366,367,玉米,3, ,39854.3007813,-10788.5996094
367,368,玉米,3, ,41225.6015625,-10298.2998047
368,369,玉米,3, ,41264.8984375,-9961.5595703
369,370,玉米,3, ,41183.1015625,-9840.6103516
370,371,玉米,3, ,39622.1992188,-11481.5996094
371,372,玉米,3, ,40171.3984375,-11592.7998047
372,373,玉米,3, ,39156.3984375,-11041.9003906
373,374,玉米,3, ,39290.3984375,-11751.2998047
374,375,玉米,3, ,38713.5000000,-12176.2998047
375,376,玉米,3, ,38146.3007813,-11854.2998047
376,377,玉米,3, ,37706.6015625,-12416.5000000
377,378,玉米,3, ,38004.1015625,-12534.2001953
378,379,玉米,3, ,37203.1992188,-12589.7998047
379,380,玉米,3, ,37116.6015625,-12568.5000000
380,381,玉米,3, ,37561.1992188,-13022.9003906
381,382,玉米,3, ,38429.1015625,-12625.7001953
382,383,玉米,3, ,38543.5000000,-12700.9003906
383,384,玉米,3, ,38621.8984375,-11999.7001953
384,385,玉米,3, ,35823.8007813,-13022.9003906
385,386,玉米,3, ,36928.6015625,-12761.4003906
386,387,玉米,3, ,35328.5000000,-14005.2001953
387,388,玉米,3, ,35588.3984375,-14348.4003906
388,389,玉米,3, ,34980.3984375,-14160.5000000
389,390,玉米,3, ,35142.1992188,-13761.7001953
390,391,玉米,3, ,35642.3007813,-14631.2001953
391,392,玉米,3, ,34825.1015625,-15438.5996094
392,393,玉米,3, ,34576.6992188,-15111.7001953
393,394,玉米,3, ,34490.0000000,-15142.7998047
394,395,玉米,3, ,34581.6015625,-14982.5996094
395,396,玉米,3, ,34986.8984375,-15092.0996094
396,397,玉米,3, ,34284.1015625,-16131.5996094
397,398,玉米,3, ,34383.8007813,-16146.4003906
398,399,玉米,3, ,35021.1992188,-16304.9003906
399,400,玉米,3, ,35418.3984375,-17172.8007813
400,401,玉米,3, ,35212.5000000,-17610.8007813
401,402,玉米,3, ,43759.0000000,-11899.7998047
402,403,玉米,3, ,43304.3007813,-11982.5000000
403,404,玉米,3, ,43274.1015625,-12085.7998047
404,405,玉米,3, ,43285.1992188,-12165.4003906
405,406,玉米,3, ,44007.1015625,-11225.5996094
406,407,玉米,3, ,43701.8007813,-11117.5000000
407,408,玉米,3, ,42984.6992188,-11481.5996094
408,409,玉米,3, ,43140.5000000,-11411.7001953
409,410,玉米,3, ,43569.8007813,-11756.7001953
410,411,玉米,3, ,43722.5000000,-11791.7001953
411,412,玉米,3, ,43802.0000000,-12108.0996094
412,413,玉米,3, ,43808.3007813,-11952.2998047
413,414,玉米,3, ,44544.5000000,-10740.7001953
414,415,玉米,3, ,44385.5000000,-10360.5996094
415,416,玉米,3, ,44417.3007813,-10111.0000000
416,417,玉米,3, ,45279.1015625,-10017.2001953
417,418,玉米,3, ,44967.5000000,-11090.5000000
418,419,玉米,3, ,44721.0000000,-10917.0996094
419,420,玉米,3, ,44566.8007813,-10805.7998047
420,421,玉米,3, ,44668.6015625,-11187.5000000
421,422,玉米,3, ,45325.3007813,-9951.9804688
422,423,玉米,3, ,44716.3007813,-9964.7001953
423,424,玉米,3, ,44592.1992188,-10109.4003906
424,425,玉米,3, ,46387.3984375,-10295.4003906
425,426,玉米,3, ,43978.3984375,-5013.6000977
426,427,玉米,3, ,44616.3007813,-4647.8598633
427,428,玉米,3, ,44654.6015625,-5553.7099609
428,429,玉米,3, ,43818.1992188,-5200.7202148
429,430,玉米,3, ,45037.3984375,-4854.8300781
430,431,玉米,3, ,44692.8984375,-4330.3100586
431,432,玉米,3, ,39162.8007813,-5689.3198242
432,433,玉米,3, ,39222.1015625,-5546.0400391
433,434,玉米,3, ,39432.5000000,-5444.0698242
434,435,玉米,3, ,39393.8007813,-5362.7500000
435,436,玉米,3, ,38930.3984375,-5805.4902344
436,437,玉米,3, ,39250.5000000,-6009.4301758
437,438,玉米,3, ,39610.6992188,-6066.2299805
438,439,玉米,3, ,39235.0000000,-6252.1000977
439,440,玉米,3, ,38664.5000000,-5658.3398438
440,441,玉米,3, ,39224.6992188,-5105.8901367
441,442,玉米,3, ,39139.5000000,-5305.9599609
442,443,玉米,3, ,38849.1015625,-5334.3500977
443,444,玉米,3, ,38316.0000000,-5327.8999023
444,445,玉米,3, ,39138.1992188,-5824.8500977
445,446,玉米,3, ,39504.8007813,-5893.2597656
446,447,玉米,3, ,38612.8984375,-5715.1401367
447,448,玉米,3, ,39430.0000000,-4753.5000000
448,449,玉米,3, ,39382.1992188,-4851.6000977
449,450,玉米,3, ,39182.1015625,-4965.1899414
450,451,玉米,3, ,39191.1992188,-5006.5000000
451,452,玉米,3, ,43879.6015625,-6407.9902344
452,453,玉米,3, ,43567.1992188,-6470.4599609
453,454,玉米,3, ,43965.3007813,-6540.0698242
454,455,玉米,3, ,44027.6992188,-6484.7402344
455,456,玉米,3, ,44049.1015625,-6208.1000977
456,457,玉米,3, ,45819.6015625,-6616.8100586
457,458,玉米,3, ,46819.1015625,-6033.1899414
458,459,玉米,3, ,46783.3984375,-6102.7998047
459,460,玉米,3, ,42316.1015625,-7443.1098633
460,461,玉米,3, ,42694.3007813,-7845.6601563
461,462,玉米,3, ,41840.6015625,-8307.6396484
462,463,玉米,3, ,41606.8007813,-8222.2304688
463,464,玉米,3, ,42483.8007813,-8175.9702148
464,465,玉米,3, ,40723.8984375,-9696.5097656
465,466,玉米,3, ,42119.6992188,-8264.4599609
466,467,玉米,3, ,42518.0000000,-8232.2802734
467,468,玉米,3, ,42288.6992188,-9149.4404297
468,469,玉米,3, ,42415.3984375,-9704.5595703
469,470,玉米,3, ,38346.6015625,-7188.7597656
470,471,玉米,3, ,38450.8984375,-7178.0898438
471,472,玉米,3, ,37517.1015625,-7166.2402344
472,473,玉米,3, ,37619.0000000,-7057.2202148
473,474,玉米,3, ,38187.8007813,-7506.3398438
474,475,玉米,3, ,38091.8007813,-7558.4902344
475,476,玉米,3, ,37869.0000000,-7962.5800781
476,477,玉米,3, ,37857.1992188,-7899.7700195
477,478,玉米,3, ,37879.6992188,-7722.0200195
478,479,玉米,3, ,38683.1015625,-7490.9399414
479,480,大豆,3, ,19391.1992188,-14331.2001953
480,481,大豆,3, ,19954.6992188,-14125.7998047
481,482,大豆,3, ,20384.6992188,-14514.2998047
482,483,大豆,3, ,20252.0996094,-14290.7001953
483,484,大豆,3, ,19726.0996094,-14558.7998047
484,485,大豆,3, ,20059.9003906,-14044.9003906
485,486,大豆,3, ,20560.6992188,-13417.7001953
486,487,大豆,3, ,20176.3007813,-13552.2001953
487,488,大豆,3, ,20061.9003906,-13447.0000000
488,489,大豆,3, ,21014.9003906,-14026.7001953
489,490,大豆,3, ,20657.8007813,-14105.5996094
490,491,大豆,3, ,20602.1992188,-14072.2001953
491,492,大豆,3, ,20176.3007813,-14160.2001953
492,493,大豆,3, ,20852.0996094,-12274.5000000
493,494,大豆,3, ,20818.6992188,-12286.5996094
494,495,大豆,3, ,21772.6992188,-11895.0996094
495,496,大豆,3, ,21131.3007813,-12453.5996094
496,497,大豆,3, ,21097.9003906,-12460.5996094
497,498,大豆,3, ,21135.3007813,-12630.5996094
498,499,大豆,3, ,21359.9003906,-12654.9003906
499,500,大豆,3, ,18107.0000000,-10757.2001953
500,501,大豆,3, ,18021.5000000,-10635.5996094
501,502,大豆,3, ,18010.8007813,-10686.4003906
502,503,大豆,3, ,18267.0996094,-10567.0996094
503,504,大豆,3, ,17853.0000000,-10617.0996094
504,505,大豆,3, ,17920.6992188,-10833.4003906
505,506,大豆,3, ,17782.9003906,-11135.0996094
506,507,大豆,3, ,17941.5000000,-11000.4003906
507,508,大豆,3, ,17990.6992188,-10941.9003906
508,509,大豆,3, ,17672.8007813,-10849.5000000
509,510,大豆,3, ,17572.8007813,-10958.7998047
510,511,大豆,3, ,17615.0996094,-10935.7998047
511,512,大豆,3, ,17430.4003906,-11024.2998047
512,513,大豆,3, ,17353.4003906,-10995.0000000
513,514,大豆,3, ,17334.1992188,-10747.9003906
514,515,大豆,3, ,17388.8007813,-10658.7001953
515,516,大豆,3, ,17418.8007813,-10663.2998047
516,517,大豆,3, ,17268.0000000,-10905.7001953
